ID,x,y,rotation_angle
180,-41.0628,-28,0
181,-27.375,-28,0
182,-13.6875,-28,0
183,0,-28,0
184,13.6875,-28,0
185,27.375,-28,0
186,41.0628,-28,0
187,-41.0628,-14,0
188,-27.375,-14,0
189,-13.6875,-14,0
190,0,-14,0
191,13.6875,-14,0
192,27.375,-14,0
193,41.0628,-14,0
194,-41.0628,0,0
195,-27.375,0,0
196,-13.6875,0,0
197,13.6875,0,0
198,27.375,0,0
199,41.0628,0,0
200,-41.0628,14,0
201,-27.375,14,0
202,-13.6875,14,0
203,0,14,0
204,13.6875,14,0
205,27.375,14,0
206,41.0628,14,0
207,-41.0628,28,0
208,-27.375,28,0
209,-13.6875,28,0
210,0,28,0
211,13.6875,28,0
212,27.375,28,0
213,41.0628,28,0
