ID,x,y
0,6.7443,2.7936
1,2.7936,6.7443
2,-2.7936,6.7443
3,-6.7443,2.7936
4,-6.7443,-2.7936
5,-2.7936,-6.7443
6,2.7936,-6.7443
7,6.7443,-2.7936
8,13.7031,2.8677
9,11.7174,7.6618
10,7.6618,11.7174
11,2.8677,13.7031
12,-2.8677,13.7031
13,-7.6618,11.7174
14,-11.7174,7.6618
15,-13.7031,2.8677
16,-13.7031,-2.8677
17,-11.7174,-7.6618
18,-7.6618,-11.7174
19,-2.8677,-13.7031
20,2.8677,-13.7031
21,7.6618,-11.7174
22,11.7174,-7.6618
23,13.7031,-2.8677
24,18.5971,3.8919
25,15.9022,10.3982
26,10.3982,15.9022
27,3.8919,18.5971
28,-3.8919,18.5971
29,-10.3982,15.9022
30,-15.9022,10.3982
31,-18.5971,3.8919
32,-18.5971,-3.8919
33,-15.9022,-10.3982
34,-10.3982,-15.9022
35,-3.8919,-18.5971
36,3.8919,-18.5971
37,10.3982,-15.9022
38,15.9022,-10.3982
39,18.5971,-3.8919
40,23.4911,4.9161
41,20.0869,13.1345
42,-20.0869,13.1345
43,-23.4911,4.9161
44,-23.4911,-4.9161
45,-20.0869,-13.1345
46,-13.1345,-20.0869
47,-4.9161,-23.4911
48,4.9161,-23.4911
49,13.1345,-20.0869
50,20.0869,-13.1345
51,23.4911,-4.9161
52,28.3851,5.9403
53,24.2717,15.8709
54,-24.2717,15.8709
55,-28.3851,5.9403
56,-28.3851,-5.9403
57,-24.2717,-15.8709
58,-15.8709,-24.2717
59,-5.9403,-28.3851
60,5.9403,-28.3851
61,15.8709,-24.2717
62,24.2717,-15.8709
63,28.3851,-5.9403
