ID,x,y
0,-14.7,12.254112
1,-9.8,12.254112
2,-4.9,12.254112
3,0,12.254112
4,4.9,12.254112
5,9.8,12.254112
6,14.7,12.254112
7,-14.7,7.3524672
8,-4.9,7.3524672
9,4.9,7.3524672
10,14.7,7.3524672
11,-14.7,2.4508224
12,-9.8,4.2889392
13,-4.9,2.4508224
14,0,4.2889392
15,4.9,2.4508224
16,9.8,4.2889392
17,14.7,2.4508224
18,-14.7,-2.4508224
19,-9.8,-4.2889392
20,-4.9,-2.4508224
21,0,-4.2889392
22,4.9,-2.4508224
23,9.8,-4.2889392
24,14.7,-2.4508224
25,-14.7,-7.3524672
26,-4.9,-7.3524672
27,4.9,-7.3524672
28,14.7,-7.3524672
29,-14.7,-12.254112
30,-9.8,-12.254112
31,-4.9,-12.254112
32,0,-12.254112
33,4.9,-12.254112
34,9.8,-12.254112
35,14.7,-12.254112
