ID,x,y,rotation_angle
180,47.5,47.5,0
181,184.378,47.5,0
182,321.253,47.5,0
183,458.128,47.5,0
184,595.003,47.5,0
185,731.878,47.5,0
186,868.756,47.5,0
187,47.5,187.5,0
188,184.378,187.5,0
189,321.253,187.5,0
190,458.128,187.5,0
191,595.003,187.5,0
192,731.878,187.5,0
193,868.756,187.5,0
194,47.5,327.5,0
195,184.378,327.5,0
196,321.253,327.5,0
197,595.003,327.5,0
198,731.878,327.5,0
199,868.756,327.5,0
200,47.5,467.5,0
201,184.378,467.5,0
202,321.253,467.5,0
203,458.128,467.5,0
204,595.003,467.5,0
205,731.878,467.5,0
206,868.756,467.5,0
207,47.5,607.5,0
208,184.378,607.5,0
209,321.253,607.5,0
210,458.128,607.5,0
211,595.003,607.5,0
212,731.878,607.5,0
213,868.756,607.5,0
